Model,R2,RMSE,MAE
LinearRegression,0.7704158838751328,8171.279718084696,5449.411166817445
DecisionTreeRegressor,0.8136417775504083,7361.959741045846,4034.1190073036114
RandomForestRegressor,0.9047443344443595,5263.378067169899,2937.7874214396334
GradientBoostingRegressor,0.8616935557633699,6342.206326706241,3862.263950732732
PolynomicalRegression,0.8684684876470445,6184.91969808835,3851.1250014997
CatBoost,0.9044849642327906,5270.538982177807,3002.6049636777943
