Model,R2,RMSE,MAE
model_pattern_shrinking,0.9114507308930122,5074.71490619369,2888.58578200657
model_pattern_constant,0.9112874824609706,5079.390595705833,2865.8306088134777
model_pattern_expanding,0.9073595822414747,5190.622093094105,3007.724920468543
model_pattern_bottleneck,0.9110350198188949,5086.613056258514,2899.534462172775
model_pattern_zigzag,0.9098252560674223,5121.080672858854,2892.5203714513887
