Model,R2,RMSE,MAE
model_no_regularization,0.9112800156312459,5079.604354416003,2882.580075963103
model_dropout_only,0.9109530649277077,5088.955420954499,2879.9995791360525
model_no_regularization,0.9112800156312459,5079.604354416003,2882.580075963103
model_dropout_only,0.9109530649277077,5088.955420954499,2879.9995791360525
model_batchnorm_only,0.9003927944587555,5382.258305700124,3078.5621061235906
model_dropout_batchnorm,0.9052672689893696,5248.910737915907,2992.9339917147818
model_l2_only,0.9121551227277942,5054.490431280019,2869.21099334612
model_all_combined,0.905348957212284,5246.647176742669,2990.492495606423
