Model,R2,RMSE,MAE
model_depth2,0.8638156707805369,6293.362188812529,3796.2743457073097
model_depth3,0.9101988707725353,5110.460753688074,2905.3218417190583
model_depth4,0.9123457326563794,5049.00371830924,2887.1393709204312
model_depth5,0.9120952118366368,5056.2137384428925,2868.406915085933
model_depth6,0.912762703971481,5036.980348126039,2836.795855114839
model_depth7,0.911505337944548,5073.149913294138,2824.664567348473
