Model,R2,RMSE,MAE
model_width_low,0.9076285242530212,5183.082236248951,3000.474132719046
model_width_medium,0.9124066851140903,5047.247941244875,2917.294866556619
model_width_base,0.9114315521642516,5075.264438179259,2879.092470834659
model_width_high,0.9134320960750352,5017.618171924293,2843.148853217988
model_width_extreme,0.9129928732780082,5030.331104867684,2832.7452196689537
model_width_ultra,0.9058006134175031,5234.114222208215,2928.173322614363
